institution,ar score,er score,fsr score,cpf score,ifr score,isr score,irn score,eo score
Massachusetts Institute of Technology (MIT) ,100,100,100,100,100,90,96.1,100
University of Cambridge,100,100,100,92.3,100,96.3,99.5,100
Stanford University,100,100,100,99.9,99.8,60.3,96.3,100
University of Oxford,100,100,100,90,98.8,98.4,99.9,100
Harvard University,100,100,99.4,100,76.9,66.9,100,100
California Institute of Technology (Caltech),96.5,87.1,100,100,99.8,85.1,73,98.8
Imperial College London,98.3,99.7,99.5,86.5,100,100,98.1,88.8
UCL,99.4,98.6,97.6,77,99.2,100,100,90.3
ETH Zurich - Swiss Federal Institute of Technology,98.6,91.3,74.2,99.2,100,98,96.2,91.1
University of Chicago,99.2,92.2,92.9,86.8,81.6,76,89.6,98.2
National University of Singapore (NUS),99.5,94.1,79.8,91.8,100,73.5,89.9,99.6
Peking University,99.3,96.5,87.3,96.7,57.1,36.9,77.5,91.4
University of Pennsylvania,96.5,92.5,99.9,70.9,96.2,66.1,93.3,100
Tsinghua University,98.9,97.7,92.8,98.1,16.7,25.7,75.5,87.1
The University of Edinburgh,98,97.2,81.1,70.1,98.9,99.5,98.7,54.3
EPFL,83.7,71.8,91.1,99.4,100,100,87.3,28
Princeton University,99.9,98.9,72.6,100,26,62.2,78.5,100
Yale University,99.9,100,100,51.5,89.2,77.3,92,100
"Nanyang Technological University, Singapore (NTU)",90.4,76.1,83.2,94.1,100,74.1,89.6,84.6
Cornell University,98.3,91.4,62.2,99.3,63.9,55.3,90,99.5
The University of Hong Kong,97.4,62.9,84.2,72.6,100,98.7,81.1,99
Columbia University,99.7,98.1,100,47.2,47.6,94.6,98.9,99.8
The University of Tokyo,100,99.7,91.9,73.3,10.4,27.8,89.5,97.8
Johns Hopkins University,87.9,47.2,100,87.3,63.6,82.9,97.7,95.3
University of Michigan-Ann Arbor,98.5,91.3,88.9,62.5,71.2,33.1,96.3,96
Universit? PSL,74.4,97,99.8,84.1,59.7,83.6,99.7,53.9
"University of California, Berkeley (UCB)",100,100,23.9,99.9,93.3,57.7,96.7,99.1
The University of Manchester,95.1,97.7,63.1,59,93.4,99.4,98.9,66.4
Seoul National University,98.6,97.8,87,70.3,12.2,10.3,79.3,97.7
The Australian National University,93.6,70.1,38,99.3,100,96,94.6,59.1
McGill University,93.3,93.6,68.9,59.6,87.6,95.1,95.2,90
Northwestern University,84.4,71.9,98.3,84.2,40.5,38.8,89,98.4
The University of Melbourne,98.6,94.9,17.9,95,93.1,99.8,97.6,91.1
Fudan University,83.6,93.5,89.3,70.4,89.3,38.7,70.6,65.7
University of Toronto,99.6,98.3,65.6,43.5,95.8,95.7,96.7,94
Kyoto University,98.6,98.9,94.8,54.2,14.9,22.1,85.5,56.9
King's College London,88.8,83.2,74.5,60.5,98.6,100,99.3,56.9
The Chinese University of Hong Kong (CUHK),87.3,49.6,60.9,92.9,100,90.5,74.9,79.4
New York University (NYU),95.9,99,98.1,28.9,31.3,94.4,92,99.7
The Hong Kong University of Science and Technology,82,50.1,62.6,98.6,100,87.9,56.2,91.2
The University of Sydney,96.2,91.7,15.6,92.1,99.3,100,97.3,90.8
KAIST - Korea Advanced Institute of Science & Technology,88.1,85.8,68.9,97.7,23.1,12.3,65.2,63.2
Zhejiang University,72.2,95.3,78.7,88.4,99.1,42.5,80.8,42.3
"University of California, Los Angeles (UCLA)",100,99.9,37.7,85.9,45.1,27.5,96.3,98
The University of New South Wales (UNSW Sydney),89,91.1,16.8,97.6,100,99.8,98.2,93
Shanghai Jiao Tong University,82.7,90.2,57.7,97.1,40.9,38.4,73.9,57.8
University of British Columbia,98,95.4,56.5,42.1,89,74.9,97.9,75.2
Institut Polytechnique de Paris,45.3,99.4,98.9,94,97,98.2,94.8,99.8
Technical University of Munich,84,96.8,96.4,25.8,70.3,95,91.8,37.5
